"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,0.905675675675676,0.877727272727273,1.14859375,2.14555555555556,1.46677304964539,0.97565169846671,1.47368196392338,1.25518275949456,1.81411848156327,1.43336630716688,0.337375149472409,0.535786150026761,0.241593751261942,0.371442937774877,0.203520181107629,0.314408556221971,0.423560406455555,0.781667708131224,1.08610370121276,1.03447408206886,1.63689484071145,2.52380352139121,1.72869781085789,2.54213326191378,1.8322585322649,0.00382932436051053,0.00595036599593646,2.04250196866873e-07,1.03967610032285e-06,1.88316029436919e-12,0.903070711897802,0.879963023812192,1.06974414786083,2.09197036191422,1.37262598906183,0.251902954881701,0.347143237552924,0.194496540713688,0.270395225542203,0.169068581611758,0.40934999273045,0.199574780731829,0.688537932944369,1.56200545825991,1.04125765818551,1.39679143106515,1.56035126689255,1.45095036277728,2.62193526556852,1.70399431993815,0.000337085287773764,0.0112489020888347,3.79645381798355e-08,1.02140518265514e-14,4.44089209850063e-16,0.434083002528668,0.00242748595854751,0.351702204259321,0.426674859674371,74,44,192,90,282
"2",2,-0.0262337662337662,3.45441176470588,0.912892156862745,1.66129411764706,1.13301038062284,0.944475464693088,1.5433832767008,1.68646812413327,2.28022566333712,1.87447934989322,0.367525465084401,0.644006679046445,0.216049147696977,0.368069627137749,0.188943906117513,0.224138789726329,0.281153379966523,1.26301957575662,1.55882245034404,1.50415609880458,1.66481213965985,2.80561317343508,2.10991667250992,3.00162887633019,2.24480260098186,0.0101750430717236,0.0165510017744948,5.88418203051333e-15,5.82505377266784e-10,0,0.523381932868358,3.44698814389249,1.81843346534656,2.3990435066156,1.97406089908877,0.268105330483738,0.389011446798815,0.177583863615399,0.268638654522369,0.158881271824644,-0.00209485894297567,2.68453971859299,1.4703754884249,1.87252141889646,1.66265932849455,1.04885872467969,4.20943656919198,2.16649144226821,2.92556559433474,2.28546246968299,0.050920348866513,0,0,0,0,0.390565788234736,0.00838669710035981,0.412106699994061,0.442699633417698,77,34,204,85,289
"3",3,0.359782608695652,2.42548387096774,0.675076923076923,1.83109756097561,1.01729241877256,0.825194137428874,1.47139735008076,1.06480466195832,1.71215054678932,1.25188016946604,0.361044680972819,0.632303173870955,0.227365752985651,0.393946972580313,0.198505867162966,0.117559565912395,0.232105901983321,0.619175974788612,0.940028668713322,0.862815819106733,1.53282870894535,2.7106887981782,1.51043334912802,2.48427242486532,1.64094451982534,0.0222792248270672,0.0199629199051996,2.82398156059571e-06,1.38551187640612e-05,2.85388823684229e-10,0.572178647203245,2.45904227861462,0.926927646672221,2.01539412311256,1.24943623228417,0.264854098459133,0.384063215202184,0.185180911019606,0.282048130253202,0.165599024758181,0.0530741530655184,1.70629220903168,0.563979730449478,1.46258994590942,0.924868107883184,1.09128314134097,3.21179234819755,1.28987556289497,2.5681983003157,1.57400435668516,0.0307452650217782,1.52651002949256e-10,5.57100329867666e-07,8.96172025477426e-13,4.52970994047064e-14,0.364407776643204,0.0400956694407169,0.440332931943122,0.368574693813954,92,31,195,82,277
"4",4,0.714578313253012,1.13166666666667,1.47190721649485,1.32236559139785,1.42344947735192,1.02806183309035,1.08645332070642,1.16034518172395,1.20343021267484,1.17222964679685,0.409830287354442,0.726666329338602,0.204786652666399,0.377108115683491,0.181306431525462,0.22480923010194,-0.337786513575162,0.758970717983294,0.464311887657438,0.816875570841469,1.83131443607875,2.510693154988,1.5617196454646,1.94254853769225,1.52758372275223,0.0121242826786601,0.134883142054909,1.4606960530017e-08,0.00141679532265715,1.00990549256608e-10,0.756459177512449,1.08506922828711,1.190078030645,1.2920000229259,1.2178749376307,0.290189041396562,0.417502289319061,0.169934422356013,0.273454434121201,0.153464938243819,0.187699107666985,0.266779777758731,0.857012683093595,0.756039180635562,0.917089185783149,1.32521924735791,1.90335867881549,1.5231433781964,1.82796086521623,1.51866068947825,0.00913978897887036,0.00935083136808945,2.5024426975051e-12,2.30414434465587e-06,2.1094237467878e-15,0.148353834959735,0.159949118297822,0.624668001427572,0.156188089433755,83,30,194,93,287
"5",5,0.501481481481482,0.287058823529412,0.224670050761421,1.41568181818182,0.592421052631579,0.339098163994237,0.814970017497111,0.382898876863458,0.863465022685979,0.516171318173458,0.423583633243054,0.767432055124542,0.211059381429728,0.394739891611301,0.188097691984877,-0.491110501602773,-0.689169171128548,-0.0307699093381099,0.0897890518665839,0.147506616307991,1.16930682959125,2.31910920612277,0.796567663065026,1.63714099350537,0.884836020038924,0.423394549424164,0.288261019126288,0.0696506247451552,0.0287113067288827,0.00606648258797149,0.459840621003284,0.316508567422651,0.147129543007244,1.34136474530805,0.445688343582446,0.297020460161992,0.430416293895962,0.17422666960664,0.282533183985233,0.15829742993363,-0.122308783585735,-0.527091866972642,-0.19434845456813,0.787609880259565,0.135431082067279,1.0419900255923,1.16010900181794,0.488607540582618,1.89511961035654,0.755945605097613,0.121579382605434,0.462123612096575,0.398405707027902,2.05807891062726e-06,0.00486995494109821,0.326704324788145,0.0413051359873847,0.503210347135263,0.315856475181782,81,34,197,88,285
"6",6,0.450989010989011,3.13,0.873865979381443,1.71101123595506,1.13713780918728,0.914098745921848,1.40894439651493,1.25274142171674,1.77748786211291,1.39777836754482,0.333553936765421,0.563784657255842,0.241005509435755,0.392430123315981,0.206092783980873,0.260345042960072,0.303946773257226,0.780379303146933,1.00833895396497,0.993843933468718,1.56785244888362,2.51394201977264,1.72510354028655,2.54663677026084,1.80171280162092,0.00613490380476023,0.0124515303873937,2.01467579508119e-07,5.91408213357347e-06,1.1829648371986e-11,0.761269252840899,3.16115886003999,1.18558078953958,2.00949753453961,1.41813793530572,0.249789289732704,0.358048069229181,0.194132755177566,0.281245865417719,0.17084122855579,0.271691241240958,2.45939753961669,0.805087581172018,1.45826576752008,1.08329528026179,1.25084726444084,3.86292018046329,1.56607399790714,2.56072930155914,1.75298059034964,0.00230641690984768,0,1.01481767433853e-09,9.00057806063614e-13,1.11022302462516e-16,0.450706699744807,0.00355525286907516,0.397015699980429,0.396732507936074,91,26,194,89,283
"7",7,0.38625,1.09,1.20709844559585,1.73613636363636,1.37277580071174,0.385823095805192,0.756407925168203,0.503019344437829,0.922863401850152,0.64767819881756,0.390291068020691,0.52617942619882,0.240942318637873,0.320647716871149,0.193225195090523,-0.379133341003035,-0.274884799587435,0.0307810775560248,0.294405425057703,0.268963775534409,1.15077953261342,1.78770064992384,0.975257611319633,1.5513213786426,1.02639262210071,0.322882280517615,0.150562482665215,0.0368233817365298,0.00400049785801837,0.000802490009069734,0.0579110682440891,0.901868156288808,0.422390401724179,1.33233477827456,0.698440942924858,0.280213591375246,0.343247400439064,0.194079075354349,0.242481047679138,0.161912739273378,-0.491297478830016,0.229115613641244,0.0420024038768207,0.857080657889915,0.381097805310813,0.607119615318194,1.57462069893637,0.802778399571538,1.80758889865921,1.0157840805389,0.836269468607509,0.0086025440149966,0.0295266333194886,3.91611496564082e-08,1.60553924604123e-05,0.209900643693974,0.145703760428759,0.481873862713444,0.28546042559461,80,39,193,88,281
"8",8,0.00898734177215197,1.54636363636364,1.18549707602339,1.92509433962264,1.46851985559567,0.632961571843586,1.24986987828299,1.38081258263159,2.02967103487851,1.61055606962958,0.383788225204113,0.563373326696497,0.245528535668441,0.342210127119718,0.200714893447544,-0.119249527247023,0.145678448107339,0.899585495544588,1.35895151057899,1.2171621073116,1.38517267093419,2.35406130845864,1.86203966971859,2.70039055917803,2.00395003194756,0.0990970465911809,0.0265175980364931,1.8676135971063e-08,3.00973201916577e-09,9.99200722162641e-16,0.286241667010571,1.50328815240331,1.47393939268072,2.21555922942975,1.78013849194453,0.276810657726874,0.358165367991499,0.197009606379634,0.254608846181014,0.167112369570469,-0.256297252670947,0.801296930630432,1.08780765956822,1.71653506076967,1.45260426621526,0.828780586692088,2.20527937417618,1.86007112579321,2.71458339808984,2.10767271767379,0.301103321350078,2.70247029515724e-05,7.34967642301854e-14,0,0,0.372343723413258,0.0110638879029427,0.333287692580364,0.420552137487034,79,44,171,106,277
"9",9,0.747027027027027,1.96279069767442,0.886051282051282,1.84011363636364,1.18272084805654,0.94821563624564,1.47576403790814,1.19784630549275,1.63220156479191,1.3504526550049,0.44909893241402,0.672575489835934,0.21902284887007,0.335337918539393,0.185161865160239,0.0679979032187733,0.15754030094532,0.768569409916052,0.974951321804068,0.987542067980566,1.82843336927251,2.79398777487095,1.62712320106944,2.28945180777974,1.71336324202923,0.034740211137918,0.0282211523087235,4.52461172972818e-08,1.13113921540453e-06,3.0231372960543e-13,0.87871254290948,2.01183835220985,0.999669469429794,1.89294093162404,1.25849724292777,0.309228194742363,0.399790194615549,0.179609091987279,0.250840705460067,0.156212314415469,0.272636418210111,1.22826396939111,0.647642117838785,1.40130218306569,0.952326732731806,1.48478866760885,2.79541273502858,1.3516968210208,2.38457968018239,1.56466775312374,0.00448833538644577,4.84793579724752e-07,2.60942532026576e-08,4.47419878923938e-14,7.7715611723761e-16,0.320365605344344,0.0209814229239745,0.414309312435592,0.431816644755979,74,43,195,88,283
"10",10,-0.0751948051948051,1.19315789473684,1.20963917525773,2.29538461538462,1.55631578947368,0.86618392143863,1.27110278395139,1.24341232020804,1.69890471035303,1.41272846259796,0.367949397189843,0.536405713371178,0.240562015247834,0.348359027112718,0.199593688383418,0.145016354813315,0.219766904642365,0.771919434273914,1.01613356352269,1.02153202182495,1.58735148806395,2.32243866326042,1.71490520614217,2.38167585718337,1.80392490337097,0.0185683964946691,0.0178041245919252,2.35626089084562e-07,1.07777679381194e-06,1.46227474573379e-12,-0.0281130948457921,1.27449750963452,1.2047211981504,2.31670611221748,1.58920411759054,0.268450075668346,0.347106128654399,0.193808987923725,0.258023951198838,0.166358457090869,-0.554265574802803,0.59418199865877,0.824862561939737,1.81098846071904,1.26314753316879,0.498039385111219,1.95481302061027,1.58457983436106,2.82242376371592,1.9152607020123,0.916595026940659,0.000240866532187911,5.09912112534039e-10,0,0,0.154338196972698,0.174955268449217,0.493464163124627,0.277236224430156,77,38,194,91,285
